xValue contrib
1409 5412.9
2044 7415.8
2361 8254
760 2639.2
3546 12803
2047 7257.6
1212 4243.3
2464 8434.2
642 2327.5
2361 8849.3
3011 10410
2955 9805.8
1406 5306.6
2351 8427.5
2227 7765.5
2040 7105.1
2332 8549.7
3205 10613
3651 12211
2660 8812.5
1214 4678.3
625 2026.6
1330 4584.5
2273 6950.9
685 2699.7
2246 6555.3
2851 9316.6
1961 6387.7
3626 14153
1992 6594.5
2922 9307.3
2018 6272.1
1693 6178.8
1091 3667.7
2738 9075.4
2473 8619.8
2623 9704
1257 4058.1
1998 6556.2
1783 6600.9
2776 9733.9
426 1445.1
1510 4940.6
2601 9766.7
1125 4184.6
1756 6243.2
3058 10963
1505 5724.2
1539 5478.1
1264 3964.4
1976 7923.1
2591 9528.4
1991 7200.9
1508 3150.5
2032 7732.5
1412 5238.7
1555 5508.4
1612 5843.8
1933 7730
989 3486.9
1681 5861.2
1936 6901
3233 12296
2307 8023
2380 8586.7
3218 12144
2618 9466.6
2026 7001.6
2327 8634.5
1688 6812.8
2406 8674.1
1066 3627.9
3961 13961
3490 12866
1944 6737.8
2556 8807
3692 13141
4029 14267
2769 9086.9
2540 8820.1
3687 14263
978 3527.7
2224 7518.8
2663 9202.2
2922 10689
1463 4947.9
2871 9800.5
2759 9203.2
2165 7666
1627 5667.6
1911 6178.7
1030 3753.6
982 3788.6
497 1615.7
238 820.02
1071 4124.4
1897 6813.9
1177 4036.9
400 1453.3
632 2287.3
770 2602.9
1363 4752.9
1501 5411.6
859 2930.4
727 2524
1165 4415.4
708 2665.5
472 1670.9
633 2418
295 1071
1548 5623.4
1475 5196.6
1626 6108.4
626 2211.1
941 3406.1
767 2768.5
997 3451.5
1491 5746.2
906 3197.5
645 2338.5
1422 4975.5
1697 6146.8
1941 6922.7
1386 4870.2
2399 8267.8
1153 3667.3
1412 4802.4
1192 4072.2
1642 6117.8
1107 3382.1
788 2370.7
1148 3621.1
805 2740.4
239 813.78
435 1429.5
411 1384.1
1212 4566
419 1359.3
398 1231.9
978 2934.6
534 1806.2
528 1557.9
974 3124.7
1097 3344.7
733 2761.3
581 1977
989 3101.1
441 1386.9
880 2981.8
192 662.74
559 1810.1
1224 4586.4
1184 3816.9
878 2910.6
998 3630.3
534 1847
411 1552.3
746 2626.7
359 1233.4
561 1982
613 2074.8
364 1288.7
146 524.3
290 1039.6
660 2265.9
473 1574.4
231 834.3
371 1339.6
599 1976.5
472 1637.2
1391 5130.9
925 3156.4
596 2093.4
644 2314.6
1772 6109.5
1181 4202.8
450 1580.3
1591 5499.8
757 2591.1
1565 5494.6
1344 4720.5
1331 4780.6
573 1888.3
827 2899.5
1011 3324.4
658 2456.4
170 596.06
712 2388.8
1193 4180.7
397 1362.5
1140 3800.2
397 1399
859 3068.4
579 1843.7
332 1106.6
432 1604.7
146 513.58
498 1766.2
693 2336.4
732 2662.5
929 3220.9
309 1117.4
415 1445.9
1149 3829.4
1972 7275.5
201 733.75
1104 3799.2
693 2341.3
1724 6318.5
1256 4258.1
651 2329.8
149 534.24
973 3318.4
1295 4446.8
834 3061.2
563 1882.2
1106 3818
585 2204.3
1029 3726.6
1467 5225.8
765 2786.6
1069 3736.9
1371 4817.2
892 3114.8
806 2954.4
1928 7192.8
383 1364.7
1446 4935.8
1245 4472
1589 5531.5
1077 3708.6
1203 3874.4
1905 7192.4
1674 5613.9
1284 4162.8
1525 5013.2
2070 8253.8
1875 5874.4
664 2209.6
1445 4542.6
2334 8362.1
1690 5269.6
1439 4639.4
1127 3516.3
1056 3710.9
1946 6722.4
943 3130.5
3174 11922
1747 6208.3
1174 3902.8
2481 9413.5
1254 4525.7
616 2029.5
1853 6562.3
2237 7778.4
2608 8040.4
1272 4137.6
1789 6325.4
1383 4476.2
1584 5349.6
2462 8595.9
2864 10177
3232 11143
510 1824.3
921 3131.6
3084 11508
1468 5102.5
1089 3811.3
1917 6511.6
1188 4378.9
2319 8170.8
1905 6834
3239 11564
1696 6485.5
2604 8810.2
1747 6452.3
5524 19971
2093 7581
1802 6384.3
2563 9011.7
3751 13038
2602 9281
2457 7969
3812 14047
4905 16711
2644 9391.6
1545 5367.3
2752 10482
3932 13203
2820 9697.6
1580 5533.7
3982 14705
2729 8966.4
2299 8533.4
2475 8515.3
3644 13368
3626 13032
2570 9458.2
3687 13332
4270 16118
3625 13785
