xValue contrib
3.3562e+06 1.2893e+07
3.242e+06 1.1762e+07
3.3588e+06 1.1742e+07
3.2564e+06 1.1308e+07
3.6519e+06 1.3185e+07
3.4929e+06 1.2384e+07
3.6001e+06 1.2604e+07
3.3502e+06 1.1468e+07
3.5173e+06 1.2751e+07
3.1352e+06 1.1751e+07
3.2919e+06 1.1381e+07
3.4815e+06 1.1553e+07
3.3479e+06 1.2636e+07
3.5057e+06 1.2567e+07
2.7571e+06 9.614e+06
3.2947e+06 1.1475e+07
3.4994e+06 1.283e+07
3.2089e+06 1.0626e+07
3.1761e+06 1.0623e+07
3.3264e+06 1.102e+07
3.8597e+06 1.4874e+07
3.3469e+06 1.0853e+07
2.911e+06 1.0034e+07
3.0757e+06 9.4058e+06
3.3061e+06 1.303e+07
3.1699e+06 9.252e+06
3.1675e+06 1.0351e+07
3.4045e+06 1.109e+07
3.5197e+06 1.3738e+07
3.3904e+06 1.1224e+07
3.2053e+06 1.021e+07
3.2858e+06 1.0213e+07
3.6088e+06 1.3171e+07
3.2974e+06 1.1085e+07
3.5804e+06 1.1868e+07
3.755e+06 1.3088e+07
3.6136e+06 1.3369e+07
3.2895e+06 1.062e+07
3.4921e+06 1.1459e+07
3.4844e+06 1.29e+07
3.3831e+06 1.1863e+07
3.755e+06 1.2738e+07
3.5789e+06 1.171e+07
3.678e+06 1.3811e+07
3.3086e+06 1.2307e+07
3.683e+06 1.3095e+07
3.3359e+06 1.1959e+07
3.3357e+06 1.2687e+07
3.8345e+06 1.3649e+07
3.6502e+06 1.1449e+07
3.3336e+06 1.3367e+07
3.4698e+06 1.276e+07
3.3946e+06 1.2277e+07
3.5383e+06 7.3923e+06
3.7182e+06 1.4149e+07
3.6053e+06 1.3376e+07
3.2097e+06 1.137e+07
3.557e+06 1.2895e+07
3.4852e+06 1.3937e+07
3.4885e+06 1.2299e+07
3.4739e+06 1.2113e+07
3.543e+06 1.2629e+07
3.2327e+06 1.2295e+07
3.4069e+06 1.1848e+07
3.3101e+06 1.1942e+07
3.418e+06 1.2899e+07
3.8032e+06 1.3752e+07
3.3594e+06 1.161e+07
3.2927e+06 1.2218e+07
3.2434e+06 1.3091e+07
3.3191e+06 1.1966e+07
3.463e+06 1.1786e+07
3.8289e+06 1.3496e+07
3.4169e+06 1.2596e+07
3.5611e+06 1.2343e+07
3.518e+06 1.2122e+07
4.0935e+06 1.457e+07
3.2172e+06 1.1392e+07
3.7115e+06 1.218e+07
3.3389e+06 1.1594e+07
3.8772e+06 1.4999e+07
3.2792e+06 1.1828e+07
3.5843e+06 1.2118e+07
3.5226e+06 1.2173e+07
3.7581e+06 1.3747e+07
3.7317e+06 1.2621e+07
3.3933e+06 1.1583e+07
3.7095e+06 1.2374e+07
4.1209e+06 1.4592e+07
3.4948e+06 1.2174e+07
4.6458e+06 1.5021e+07
5.1103e+06 1.8623e+07
5.0015e+06 1.9296e+07
5.5341e+06 1.7991e+07
4.7656e+06 1.642e+07
5.4603e+06 2.1027e+07
5.3919e+06 1.9367e+07
5.0198e+06 1.7217e+07
4.9806e+06 1.8096e+07
5.5487e+06 2.0081e+07
5.4146e+06 1.8303e+07
5.2869e+06 1.8436e+07
5.6131e+06 2.0237e+07
5.4029e+06 1.8431e+07
5.655e+06 1.9633e+07
4.9049e+06 1.859e+07
5.2707e+06 1.9843e+07
